id	metapop	alpha	alpha_imputed	pvalue	pvalue_imputed
ENSG00000109193	AFR	-5.66667		0.26573	
ENSG00000109205	AFR	0.6875		0.387	
ENSG00000109265	AFR	-0.15702		0.79288	
ENSG00000109272	AFR	0.57143		1.0	
ENSG00000109323	AFR	-2.0303	0.16667	0.12187	1.0
ENSG00000109339	AFR	-0.2	0.6	1.0	0.38917
ENSG00000109381	AFR	-2.75	-0.5	0.21123	1.0
ENSG00000109424	AFR	-8.33333		0.06978	
ENSG00000109452	AFR	-1.61538	-1.0	0.27334	0.46049
ENSG00000109458	AFR	-0.8		0.66192	
ENSG00000109472	AFR	-1.14286		0.66685	
ENSG00000109501	AFR	0.62247	0.95056	0.00044	0.0
ENSG00000109511	AFR	0.65	0.875	0.60003	0.24242
ENSG00000109534	AFR	0.5		1.0	
ENSG00000109572	AFR	-2.33333	-0.5	0.59006	1.0
ENSG00000109576	AFR	-0.2		1.0	
ENSG00000109586	AFR	-3.0		0.12835	
ENSG00000109618	AFR	-0.125		1.0	
ENSG00000109625	AFR	-0.40317	0.27778	0.62507	0.59638
ENSG00000109654	AFR	0.65385		0.36917	
ENSG00000109667	AFR	-0.06667	0.22222	1.0	1.0
ENSG00000109670	AFR	0.11111		1.0	
ENSG00000109674	AFR	-0.33333	0.45455	0.71902	0.69985
ENSG00000109680	AFR	0.6		0.51648	
ENSG00000109684	AFR	0.0		1.0	
ENSG00000109685	AFR	-0.6		0.72552	
ENSG00000109686	AFR	-0.85185		0.50221	
ENSG00000109705	AFR	-0.6		1.0	
ENSG00000109736	AFR	-0.55556	0.0	0.68937	1.0
ENSG00000109738	AFR	-3.0		0.33824	
ENSG00000109743	AFR	-0.1875		1.0	
ENSG00000109756	AFR	-11.6		0.00803	
ENSG00000109758	AFR	0.29327	0.34375	0.76712	0.5536
ENSG00000109762	AFR	-0.09091	0.0	1.0	1.0
ENSG00000109775	AFR	-6.7	-2.5	0.09257	0.36898
ENSG00000109790	AFR	-0.09375	0.375	1.0	0.67307
ENSG00000109794	AFR	0.20168		0.77878	
ENSG00000109805	AFR	-0.33333		1.0	
ENSG00000109819	AFR	-5.85714	-5.0	0.09746	0.19868
ENSG00000118564	AFR	0.77273		0.52322	
ENSG00000118762	AFR	-5.0		0.17271	
ENSG00000118777	AFR	-9.4	-0.6	0.01632	1.0
ENSG00000118785	AFR	0.64286	0.80952	0.40587	0.09907
ENSG00000118804	AFR	-2.66667		0.53684	
ENSG00000118816	AFR	-1.0		1.0	
ENSG00000120519	AFR	-2.0		0.50549	
ENSG00000121207	AFR	-4.33333		0.50549	
ENSG00000121210	AFR	0.39583		0.42054	
ENSG00000121892	AFR	-0.16667		1.0	
ENSG00000121895	AFR	-0.08		1.0	
ENSG00000121897	AFR	-6.0		0.23636	
ENSG00000123737	AFR	-2.0		0.5467	
ENSG00000123739	AFR	-2.0		1.0	
ENSG00000124406	AFR	-1.18182	-0.5	0.47586	1.0
ENSG00000125089	AFR	-0.36899	0.64583	0.35668	0.00447
ENSG00000125386	AFR	-1.64706	-1.5	0.11716	0.12061
ENSG00000125388	AFR	-0.1	0.5	1.0	0.4916
ENSG00000126545	AFR	-1.0		1.0	
ENSG00000126550	AFR	-0.5		1.0	
ENSG00000127415	AFR	-0.28736	0.33333	0.51896	0.29801
ENSG00000127418	AFR	0.31818		1.0	
ENSG00000127419	AFR	-2.84615		0.12923	
ENSG00000128040	AFR	0.8125		0.29293	
ENSG00000128045	AFR	0.66667		1.0	
ENSG00000128050	AFR	-1.8		0.61991	
ENSG00000128052	AFR	-1.17241		0.46581	
ENSG00000128059	AFR	-1.0	0.0	0.65925	1.0
ENSG00000129116	AFR	-1.5	-1.0	0.22032	0.35463
ENSG00000129187	AFR	0.57143		0.58042	
ENSG00000130997	AFR	-0.84889	0.13333	0.22749	0.79928
ENSG00000132405	AFR	-9.28571		0.02857	
ENSG00000132406	AFR	-2.0		1.0	
ENSG00000132463	AFR	0.46667		1.0	
ENSG00000132464	AFR	-0.27778	0.0	0.78691	1.0
ENSG00000132465	AFR	0.5		1.0	
ENSG00000132466	AFR	-0.31884		1.0	
ENSG00000132467	AFR	-2.5		0.32867	
ENSG00000133256	AFR	0.15702	0.45455	1.0	0.51651
ENSG00000134853	AFR	-0.78947	0.2	0.51006	0.71437
ENSG00000134962	AFR	-1.8		0.14681	
ENSG00000135220	AFR	-1.09195	0.55172	0.3527	0.3858
ENSG00000135222	AFR	-2.0		1.0	
ENSG00000135226	AFR	0.06439		1.0	
ENSG00000135605	AFR	-2.0		0.58824	
ENSG00000137440	AFR	-8.0		0.06478	
ENSG00000137441	AFR	-4.0	-1.5	0.16747	0.61927
ENSG00000137449	AFR	-6.0	-2.5	0.13566	0.53007
ENSG00000137460	AFR	0.04	0.4	1.0	0.36328
ENSG00000137462	AFR	-1.0		0.4505	
ENSG00000137473	AFR	-3.0		0.12662	
ENSG00000137601	AFR	-2.53846	0.33333	0.09513	0.68283
ENSG00000137628	AFR	0.2381	0.65714	0.78942	0.08629
ENSG00000138639	AFR	-2.09091	0.5	0.55751	0.48929
ENSG00000138640	AFR	-1.94872	-1.5	0.24027	0.42952
ENSG00000138641	AFR	-0.68421	0.0	0.55704	1.0
ENSG00000138642	AFR	0.12879		1.0	
ENSG00000138646	AFR	0.27083		0.76279	
ENSG00000138650	AFR	-9.26316		0.01792	
ENSG00000138653	AFR	-1.4		0.20788	
ENSG00000138658	AFR	-1.26203		0.05892	
ENSG00000138660	AFR	-0.6		1.0	
ENSG00000138663	AFR	0.66667		0.57576	
ENSG00000138670	AFR	-1.5		0.56863	
ENSG00000138674	AFR	-0.46154	0.0	0.68203	1.0
ENSG00000138675	AFR	-12.5		0.07692	
ENSG00000138678	AFR	-6.0		0.24476	
ENSG00000138686	AFR	-1.22222		0.61927	
ENSG00000138688	AFR	-1.44898	0.61905	0.02636	0.07536
ENSG00000138696	AFR	-2.2		0.34985	
ENSG00000138698	AFR	-0.6875		0.65135	
ENSG00000138709	AFR	0.52778	0.75	0.68796	0.22641
ENSG00000138722	AFR	0.26667	0.3	0.64531	0.49334
ENSG00000138735	AFR	-1.83333	0.25	0.34986	1.0
ENSG00000138738	AFR	-5.11111		0.16957	
ENSG00000138741	AFR	-2.0		0.61582	
ENSG00000138744	AFR	-0.28571	0.0	1.0	1.0
ENSG00000138756	AFR	-13.76923		0.00674	
ENSG00000138758	AFR	-0.66667		1.0	
ENSG00000138759	AFR	-1.40816	-0.55844	0.00262	0.14518
ENSG00000138760	AFR	-4.0	-4.0	0.17183	0.17183
ENSG00000138764	AFR	-0.8	-0.5	1.0	1.0
ENSG00000138769	AFR	0.57143		0.61858	
ENSG00000138771	AFR	-0.05556	0.15556	1.0	0.70201
ENSG00000138772	AFR	-2.5	-0.4	0.23286	1.0
ENSG00000138777	AFR	-1.4		1.0	
ENSG00000138778	AFR	-0.875	0.0625	0.08237	1.0
ENSG00000138780	AFR	-1.08333		0.63719	
ENSG00000138785	AFR	0.36364		1.0	
ENSG00000138792	AFR	-1.72727		0.2953	
ENSG00000138795	AFR	0.25		1.0	
ENSG00000138796	AFR	-18.6		0.00847	
ENSG00000138798	AFR	-2.07576		0.03999	
ENSG00000138802	AFR	-1.55357		0.20493	
ENSG00000138813	AFR	-0.35	-0.125	1.0	1.0
ENSG00000138814	AFR	0.88889		0.22222	
ENSG00000138821	AFR	-0.4		1.0	
ENSG00000138823	AFR	-0.71429	-0.54286	0.39289	0.56188
ENSG00000142731	AFR	0.27273		1.0	
ENSG00000145147	AFR	-4.2		0.00329	
ENSG00000145214	AFR	0.66599		0.03229	
ENSG00000145220	AFR	-0.33333		1.0	
ENSG00000145241	AFR	0.125	0.625	1.0	0.27317
ENSG00000145242	AFR	-0.62963		0.71518	
ENSG00000145244	AFR	0.50802	0.72727	0.35916	0.06022
ENSG00000145246	AFR	-4.5		0.00312	
ENSG00000145283	AFR	-17.0		0.04412	
ENSG00000145309	AFR	-1.75	0.0	0.55728	1.0
ENSG00000145321	AFR	-5.0	-1.66667	0.15709	0.62436
ENSG00000145332	AFR	-0.09091		1.0	
ENSG00000145348	AFR	-1.07692		0.33761	
ENSG00000145354	AFR	-0.5		1.0	
ENSG00000145358	AFR	-6.5	-2.0	0.24242	1.0
ENSG00000145362	AFR	-0.34259	-0.04167	0.4865	1.0
ENSG00000145365	AFR	0.16667		1.0	
ENSG00000145375	AFR	-1.04167		0.48096	
ENSG00000145384	AFR	-0.33333	0.33333	1.0	1.0
ENSG00000145386	AFR	-2.33333	-0.25	0.36146	1.0
ENSG00000145388	AFR	-3.66667		0.51049	
ENSG00000145390	AFR	-0.35385	0.8	0.76782	0.03865
ENSG00000145391	AFR	-1.44444		0.39264	
ENSG00000145414	AFR	-0.3		1.0	
ENSG00000145416	AFR	0.52885		0.32078	
ENSG00000145431	AFR	-1.0		1.0	
ENSG00000145439	AFR	0.11111		1.0	
ENSG00000145476	AFR	-6.0	-1.8	0.04914	0.40134
ENSG00000150627	AFR	-2.74026		0.03495	
ENSG00000150628	AFR	-0.06667		1.0	
ENSG00000150630	AFR	-1.25		0.60839	
ENSG00000150961	AFR	-0.16702	0.44186	0.82634	0.31513
ENSG00000151005	AFR	0.16	0.7	1.0	0.22129
ENSG00000151247	AFR	-1.0		1.0	
ENSG00000151458	AFR	-4.66667	-0.4	0.03033	1.0
ENSG00000151466	AFR	-1.0	-0.33333	0.65857	1.0
ENSG00000151470	AFR	-2.0		0.5467	
ENSG00000151475	AFR	-3.5	-2.0	0.52381	1.0
ENSG00000151611	AFR	0.57143		0.62848	
ENSG00000151623	AFR	0.3125	0.625	1.0	0.37813
ENSG00000151718	AFR	-0.7594		0.33541	
ENSG00000151725	AFR	-0.66667	0.33333	0.62785	1.0
ENSG00000151726	AFR	0.07031		1.0	
ENSG00000151790	AFR	-5.0	-1.0	0.16025	1.0
ENSG00000151806	AFR	-1.5		0.48872	
ENSG00000151962	AFR	0.42857		1.0	
ENSG00000152208	AFR	-11.57143		0.01294	
ENSG00000152583	AFR	0.14286	0.2	1.0	1.0
ENSG00000152591	AFR	0.2681	0.6809	0.25556	9e-05
ENSG00000152592	AFR	-0.15385	-0.07692	1.0	1.0
ENSG00000152595	AFR	0.11111	0.33333	1.0	1.0
ENSG00000152784	AFR	0.2		1.0	
ENSG00000152785	AFR	-2.9375	-1.25	0.0858	0.4515
ENSG00000152953	AFR	0.19643	0.375	1.0	0.70357
ENSG00000152969	AFR	-0.63333		0.72347	
ENSG00000152990	AFR	-1.69388	-0.71429	0.10685	0.41176
ENSG00000153012	AFR	-1.85714		0.60003	
ENSG00000153064	AFR	-0.28571	-0.125	0.78169	1.0
ENSG00000153130	AFR	-0.25		1.0	
ENSG00000153132	AFR	-1.16667	-1.0	0.58893	0.60191
ENSG00000153147	AFR	-1.4		0.59304	
ENSG00000153802	AFR	0.8		0.28613	
ENSG00000154277	AFR	0.66667		1.0	
ENSG00000154447	AFR	-1.42857		0.27126	
ENSG00000154553	AFR	0.10714	0.58333	1.0	0.61991
ENSG00000154556	AFR	-0.76703	0.62581	0.17981	0.05717
ENSG00000155011	AFR	-7.0		0.13122	
ENSG00000155016	AFR	-5.0		0.48571	
ENSG00000155269	AFR	-0.77536	-0.25	0.48782	1.0
ENSG00000155275	AFR	-1.8	-0.5	0.12981	0.54959
ENSG00000156096	AFR	0.0	0.0	1.0	1.0
ENSG00000156136	AFR	-2.0		1.0	
ENSG00000156140	AFR	-2.11667	-0.46667	0.12045	0.73136
ENSG00000156194	AFR	-0.925	-0.4	0.50772	0.74027
ENSG00000156219	AFR	-0.6		0.68709	
ENSG00000156269	AFR	0.66667		1.0	
ENSG00000157404	AFR	-1.0	-0.66667	0.47568	0.7094
ENSG00000157426	AFR	0.30556	0.75	1.0	0.21476
ENSG00000157765	AFR	-1.65625		0.20474	
ENSG00000157796	AFR	-4.90625	-3.5	0.01762	0.04702
ENSG00000157869	AFR	-3.0		0.33835	
ENSG00000159674	AFR	-0.33333		1.0	
ENSG00000159692	AFR	-0.69231		0.54344	
ENSG00000159733	AFR	-0.62963	0.33333	0.44772	0.57541
ENSG00000159788	AFR	-1.29326	-0.19481	0.08841	0.81693
ENSG00000163071	AFR	0.06667		1.0	
ENSG00000163104	AFR	-12.0	-1.0	0.03934	1.0
ENSG00000163110	AFR	0.44444	0.44444	0.51621	0.51621
ENSG00000163114	AFR	-1.4		1.0	
ENSG00000163116	AFR	0.22222	0.55556	1.0	0.6494
ENSG00000163138	AFR	0.53333		1.0	
ENSG00000163281	AFR	-18.25		0.00942	
ENSG00000163288	AFR	0.5		1.0	
ENSG00000163291	AFR	-3.66667		0.06631	
ENSG00000163293	AFR	-4.33333	-2.0	0.21569	0.56478
ENSG00000163297	AFR	-4.625		0.15967	
ENSG00000163312	AFR	-1.30769	-0.66667	0.24364	0.55235
ENSG00000163394	AFR	-0.22222		1.0	
ENSG00000163440	AFR	0.66667		0.5671	
ENSG00000163624	AFR	-4.33333		0.16176	
ENSG00000163625	AFR	-2.84		0.01617	
ENSG00000163626	AFR	-4.0		0.54545	
ENSG00000163629	AFR	-3.36364	-1.0	0.0025	0.22022
ENSG00000163631	AFR	0.2381	0.42857	1.0	0.68017
ENSG00000163697	AFR	-16.875	-10.0	0.00363	0.03896
ENSG00000163734	AFR	0.0		1.0	
ENSG00000163735	AFR	0.5		1.0	
ENSG00000163738	AFR	0.56667	0.66667	0.43251	0.40097
ENSG00000163749	AFR	-3.08333	-0.4	0.07884	1.0
ENSG00000163945	AFR	-1.15904	-0.67568	0.0297	0.17352
ENSG00000163982	AFR	-11.72727	-9.5	0.01488	0.04075
ENSG00000163993	AFR	-0.8		1.0	
ENSG00000163995	AFR	-7.57143		0.02447	
ENSG00000164022	AFR	0.5		1.0	
ENSG00000164024	AFR	-1.0		1.0	
ENSG00000164031	AFR	-0.25		1.0	
ENSG00000164035	AFR	0.25		1.0	
ENSG00000164037	AFR	0.16667		1.0	
ENSG00000164038	AFR	-2.42857	-2.0	0.23841	0.25712
ENSG00000164056	AFR	-1.66667		1.0	
ENSG00000164066	AFR	-0.24444		0.75981	
ENSG00000164070	AFR	-0.08333	0.66667	1.0	0.39128
ENSG00000164073	AFR	-2.25		0.31849	
ENSG00000164089	AFR	-2.0		0.38019	
ENSG00000164093	AFR	0.16667		1.0	
ENSG00000164096	AFR	0.33333		1.0	
ENSG00000164099	AFR	-6.0	-2.5	0.04914	0.23112
ENSG00000164113	AFR	-2.5		0.57647	
ENSG00000164114	AFR	0.48485		0.68197	
ENSG00000164116	AFR	-1.44444	-1.0	0.64472	0.6494
ENSG00000164118	AFR	-6.22222	-0.66667	0.06488	1.0
ENSG00000164123	AFR	-2.33333	-2.0	0.3201	0.34405
ENSG00000164125	AFR	-1.0		1.0	
ENSG00000164134	AFR	-0.33333		1.0	
ENSG00000164142	AFR	-2.33333	0.16667	0.07099	0.73624
ENSG00000164161	AFR	-4.0		0.11439	
ENSG00000164164	AFR	0.025		1.0	
ENSG00000164168	AFR	-0.88889	-0.33333	0.51506	0.74487
ENSG00000164169	AFR	-4.2381	-4.0	0.0829	0.08635
ENSG00000164303	AFR	-8.0	-8.0	0.04851	0.04851
ENSG00000164305	AFR	-8.0		0.48571	
ENSG00000164306	AFR	0.75		0.35095	
ENSG00000164323	AFR	-0.69643	-0.07143	0.39625	1.0
ENSG00000164342	AFR	0.43333		0.39112	
ENSG00000164344	AFR	-1.93333		0.26564	
ENSG00000168152	AFR	-0.22222		1.0	
ENSG00000168228	AFR	-16.33333		0.00398	
ENSG00000168310	AFR	0.14286		1.0	
ENSG00000168412	AFR	0.44444	0.44444	0.50762	0.50762
ENSG00000168421	AFR	-1.0		1.0	
ENSG00000168491	AFR	-0.15385	0.19231	1.0	0.77456
ENSG00000168538	AFR	-4.45455		0.04307	
ENSG00000168594	AFR	-0.33333	-0.33333	0.60958	0.60958
ENSG00000168743	AFR	-2.0		0.15555	
ENSG00000168769	AFR	-0.08333	0.16667	1.0	0.79189
ENSG00000168818	AFR	-5.4		0.29412	
ENSG00000168826	AFR	-1.44444	0.11111	0.40132	1.0
ENSG00000168843	AFR	-0.51515	-0.25	0.72032	1.0
ENSG00000168884	AFR	-1.16667		0.62802	
ENSG00000168924	AFR	0.1746		0.79886	
ENSG00000168936	AFR	-0.28571		1.0	
ENSG00000169026	AFR	-1.7	-1.25	0.296	0.30752
ENSG00000169116	AFR	0.16667	0.16667	1.0	1.0
ENSG00000169288	AFR	-19.0		0.09341	
ENSG00000169299	AFR	-3.28571	0.25	0.04704	0.69132
ENSG00000169676	AFR	-1.25		0.3003	
ENSG00000169744	AFR	-2.6	-2.0	0.56923	1.0
ENSG00000169762	AFR	-0.11111		1.0	
ENSG00000169836	AFR	-1.4		1.0	
ENSG00000169851	AFR	-0.86207		0.50915	
ENSG00000169989	AFR	-3.875		0.27432	
ENSG00000170006	AFR	-2.0		1.0	
ENSG00000170088	AFR	-1.0		1.0	
ENSG00000170153	AFR	0.85714		0.13566	
ENSG00000170185	AFR	-0.96364		0.49786	
ENSG00000170365	AFR	0.83333		0.41667	
ENSG00000170390	AFR	-0.71429		1.0	
ENSG00000170448	AFR	-3.95	0.4375	0.02352	0.65294
ENSG00000170502	AFR	0.66667	0.66667	0.58042	0.58042
ENSG00000170509	AFR	0.36	0.8	1.0	0.28613
ENSG00000170801	AFR	0.66667		0.55882	
ENSG00000170871	AFR	-6.5		0.07952	
ENSG00000170891	AFR	0.66667		0.5671	
ENSG00000170917	AFR	-2.0	-1.0	0.34405	0.62238
ENSG00000171195	AFR	-1.25	-1.0	0.38411	0.64239
ENSG00000171199	AFR	0.16667		1.0	
ENSG00000171201	AFR	0.0		1.0	
ENSG00000171234	AFR	0.4	0.8	0.70774	0.07122
ENSG00000171476	AFR	0.0		1.0	
ENSG00000171497	AFR	-1.25	-1.0	1.0	1.0
ENSG00000171503	AFR	-0.71429		1.0	
ENSG00000171509	AFR	0.2		1.0	
ENSG00000171557	AFR	-1.33333		0.63047	
ENSG00000171560	AFR	0.53778	0.68	0.23951	0.11854
ENSG00000171564	AFR	0.3	0.8	1.0	0.26821
ENSG00000171566	AFR	0.90476		0.21678	
ENSG00000172399	AFR	0.7		0.54545	
ENSG00000172403	AFR	0.32353		0.75818	
ENSG00000172493	AFR	0.01466		1.0	
ENSG00000173011	AFR	0.65909		0.26851	
ENSG00000173013	AFR	-0.57143	0.0	0.68284	1.0
ENSG00000173040	AFR	-0.62879	-0.13636	0.26012	0.84592
ENSG00000173083	AFR	-1.29167	0.16667	0.41854	1.0
ENSG00000173085	AFR	-0.375	0.5	1.0	0.6267
ENSG00000173376	AFR	-4.53846		0.20548	
ENSG00000173597	AFR	-2.375		0.32598	
ENSG00000174123	AFR	-2.32143	0.625	0.06674	0.24329
ENSG00000174125	AFR	-0.44444	0.42857	0.72614	0.51621
ENSG00000174130	AFR	-1.53846	0.07692	0.15907	1.0
ENSG00000174137	AFR	0.01042	0.0625	1.0	1.0
ENSG00000174145	AFR	-0.75	0.77778	0.40547	0.04777
ENSG00000174227	AFR	-2.03158		0.11411	
ENSG00000174343	AFR	-0.09091		1.0	
ENSG00000174473	AFR	-0.11111		1.0	
ENSG00000174607	AFR	-3.66667		0.34522	
ENSG00000174720	AFR	-0.3125		1.0	
ENSG00000174799	AFR	-1.23077		0.28679	
ENSG00000175920	AFR	-3.72727		0.3295	
ENSG00000176979	AFR	-2.5		0.23742	
ENSG00000177300	AFR	-0.5		1.0	
ENSG00000177432	AFR	0.85714		0.28205	
ENSG00000177752	AFR	-0.71429	0.71429	1.0	0.49091
ENSG00000178163	AFR	-1.02222	0.1875	0.20565	0.78125
ENSG00000178177	AFR	0.16667		1.0	
ENSG00000178222	AFR	0.3125	0.375	0.75155	0.53554
ENSG00000178343	AFR	0.83333		0.49091	
ENSG00000178403	AFR	0.66667		0.24063	
ENSG00000178522	AFR	-0.18182		1.0	
ENSG00000178597	AFR	-0.65714	0.14286	0.41479	1.0
ENSG00000178950	AFR	-2.05263	0.0	0.02837	1.0
ENSG00000179046	AFR	-1.1	0.75	0.34343	0.11439
ENSG00000179059	AFR	-2.0		0.5467	
ENSG00000179299	AFR	-0.04167	0.0	1.0	1.0
ENSG00000179387	AFR	-8.0		0.48571	
ENSG00000180346	AFR	-1.25		0.64041	
ENSG00000180613	AFR	-0.66667		1.0	
ENSG00000180801	AFR	-3.8		0.30769	
ENSG00000181004	AFR	-0.52308	-0.05	0.56566	1.0
ENSG00000181215	AFR	0.01914		1.0	
ENSG00000181381	AFR	0.10123	0.51852	0.84233	0.10113
ENSG00000181617	AFR	0.5		1.0	
ENSG00000181826	AFR	0.3		0.76428	
ENSG00000181982	AFR	-1.14286	-0.5	0.44007	0.69683
ENSG00000182168	AFR	-7.41176	-1.75	0.03613	0.63014
ENSG00000182223	AFR	-1.0		1.0	
ENSG00000182308	AFR	-1.66667		1.0	
ENSG00000182903	AFR	-2.17949		0.10819	
ENSG00000183090	AFR	-0.55556	-0.16667	0.25766	0.84366
ENSG00000183423	AFR	-0.8		0.65289	
ENSG00000183783	AFR	-3.5	-0.5	0.19303	1.0
ENSG00000184108	AFR	0.05455	0.2	1.0	1.0
ENSG00000184178	AFR	-0.28571	0.25	1.0	1.0
ENSG00000184305	AFR	-1.02597		0.19764	
ENSG00000184985	AFR	-3.575	-1.1	0.00232	0.22345
ENSG00000185049	AFR	-0.5		0.74599	
ENSG00000185477	AFR	-2.375		0.04596	
ENSG00000185619	AFR	0.125		1.0	
ENSG00000185758	AFR	-1.0		0.66563	
ENSG00000186212	AFR	-1.22857	-0.85714	0.23209	0.52311
ENSG00000186352	AFR	-3.0	0.0	0.45455	1.0
ENSG00000186867	AFR	0.57143	0.91667	0.65534	0.0281
ENSG00000187054	AFR	-1.0	0.11111	0.66184	1.0
ENSG00000187533	AFR	-0.5		1.0	
ENSG00000187689	AFR	-2.0	-0.5	0.59276	1.0
ENSG00000187821	AFR	-6.0		0.23636	
ENSG00000188517	AFR	-0.25		1.0	
ENSG00000188848	AFR	-0.5625		1.0	
ENSG00000188981	AFR	0.55		0.64472	
ENSG00000188993	AFR	-0.47778		0.74883	
ENSG00000189099	AFR	-0.8		1.0	
ENSG00000189308	AFR	-3.5		0.11222	
ENSG00000196104	AFR	-0.375	0.0	1.0	1.0
ENSG00000196159	AFR	-3.00984	0.13043	0.0	0.71902
ENSG00000196475	AFR	-5.75		0.05057	
ENSG00000196526	AFR	-2.66667	-1.0625	0.11642	0.48462
ENSG00000196620	AFR	0.22	0.25	1.0	1.0
ENSG00000196782	AFR	-1.23529		0.32426	
ENSG00000197057	AFR	-0.57143	0.25	0.52074	0.73322
ENSG00000197386	AFR	-1.96825	-1.09524	0.00592	0.07741
ENSG00000197410	AFR	-0.37846	-0.28	0.25804	0.39507
ENSG00000197712	AFR	-4.5	-0.28571	0.05648	1.0
ENSG00000197826	AFR	0.33333	0.79487	0.58186	0.0207
ENSG00000197888	AFR	-9.0		0.04167	
ENSG00000197894	AFR	0.5		1.0	
ENSG00000198092	AFR	-4.41667	-4.0	0.09457	0.17746
ENSG00000198099	AFR	-2.75	-0.66667	0.2031	1.0
ENSG00000198498	AFR	-1.0		1.0	
ENSG00000198515	AFR	-16.6	-4.5	0.00109	0.1688
ENSG00000198589	AFR	-1.41148	0.18182	0.05474	0.81129
ENSG00000198856	AFR	-0.33333		1.0	
ENSG00000198948	AFR	-7.0		0.46429	
ENSG00000205129	AFR	0.20635		1.0	
ENSG00000205301	AFR	0.55556		0.60839	
ENSG00000205403	AFR	0.02222		1.0	
ENSG00000205678	AFR	-8.0		0.17582	
ENSG00000206113	AFR	0.6	0.66667	0.41915	0.40097
ENSG00000214367	AFR	-2.4375		0.21189	
ENSG00000215203	AFR	-3.0	0.33333	0.52273	1.0
ENSG00000215375	AFR	-8.0		0.11813	
ENSG00000215612	AFR	-1.0		1.0	
ENSG00000218336	AFR	-6.32143		1e-05	
ENSG00000226887	AFR	-0.875	0.25	1.0	1.0
ENSG00000236699	AFR	-2.0	-1.0	0.26571	0.46587
ENSG00000237765	AFR	0.16667	0.75	1.0	0.31889
ENSG00000248713	AFR	-0.33333	0.4	0.64524	0.33189
ENSG00000249581	AFR	0.25	0.75	1.0	0.31469
ENSG00000249693	AFR	-1.375	0.66667	0.53202	0.45455
ENSG00000250254	AFR	-1.66667	-0.33333	0.61451	1.0
ENSG00000250361	AFR	0.63889		0.60591	
ENSG00000250486	AFR	0.57265		0.2888	
ENSG00000254535	AFR	-5.0	-5.0	0.26154	0.26154
ENSG00000256043	AFR	-7.0		0.23516	
ENSG00000256394	AFR	0.52273	0.625	0.65641	0.36304
ENSG00000268171	AFR	-1.0	0.5	1.0	1.0
ENSG00000268791	AFR	-10.0	-9.5	0.08333	0.09874
ENSG00000269302	AFR	-0.44444		0.69763	
ENSG00000271271	AFR	-1.7		0.44171	
ENSG00000006837	AFR	-0.5		1.0	
ENSG00000011083	AFR	-1.03636	0.46667	0.49505	0.41971
ENSG00000013561	AFR	-0.6		1.0	
ENSG00000015479	AFR	-0.16667		1.0	
ENSG00000019582	AFR	-2.2		0.34985	
ENSG00000027847	AFR	0.82313		0.01722	
ENSG00000028310	AFR	-3.0	-1.5	0.36442	0.63991
ENSG00000031003	AFR	-0.2		1.0	
ENSG00000035499	AFR	-0.35		1.0	
ENSG00000037280	AFR	-1.9478		0.01029	
ENSG00000037474	AFR	-0.09091		1.0	
ENSG00000037749	AFR	-0.2		1.0	
ENSG00000038382	AFR	-10.625		9e-05	
ENSG00000038427	AFR	-0.44913	-0.06452	0.30947	1.0
ENSG00000039123	AFR	0.86667		0.16025	
ENSG00000039139	AFR	-3.59476	-1.07843	0.0	0.01845
ENSG00000039319	AFR	0.00568		1.0	
ENSG00000039537	AFR	-0.51515	0.66667	0.53199	0.15561
ENSG00000039560	AFR	-3.0	-3.0	0.04314	0.04314
ENSG00000039600	AFR	-0.8		0.50568	
ENSG00000040275	AFR	-1.25	-0.5	0.38411	0.67288
ENSG00000043143	AFR	-4.2963		0.04072	
ENSG00000043462	AFR	-5.75		0.0805	
ENSG00000044115	AFR	-0.94444		0.68681	
ENSG00000047188	AFR	-3.6875	-0.2	0.04709	1.0
ENSG00000048140	AFR	-0.66667		0.65502	
ENSG00000048162	AFR	-1.5	0.0	0.56863	1.0
ENSG00000049167	AFR	-2.0		0.60839	
ENSG00000049192	AFR	-13.0		0.00936	
ENSG00000049656	AFR	0.46667		0.49053	
ENSG00000049860	AFR	0.08333		1.0	
ENSG00000049883	AFR	-1.25		1.0	
ENSG00000050748	AFR	-8.6		0.07028	
ENSG00000050767	AFR	-3.11429	-0.8	0.06638	0.70004
ENSG00000053108	AFR	-3.0	-0.5	0.03967	0.72402
ENSG00000055147	AFR	-3.5	-2.0	0.28723	0.34283
ENSG00000056097	AFR	-2.55556		0.36022	
ENSG00000058729	AFR	0.23469		0.7437	
ENSG00000061492	AFR	-0.8		0.66087	
ENSG00000062194	AFR	-1.0		1.0	
ENSG00000063438	AFR	-0.42763		0.48805	
ENSG00000064651	AFR	-1.75		0.2958	
ENSG00000064692	AFR	-0.07692		1.0	
ENSG00000066230	AFR	-1.29412		0.31631	
ENSG00000067248	AFR	-1.8	-0.4	0.17519	0.7289
ENSG00000068796	AFR	0.52381	0.85714	0.26608	0.00563
ENSG00000069011	AFR	-1.0	0.33333	0.60003	1.0
ENSG00000069018	AFR	-12.0		0.01893	
ENSG00000069020	AFR	0.26875	0.49375	0.39813	0.07727
ENSG00000070614	AFR	-1.29167		0.46446	
ENSG00000070814	AFR	0.03226	0.35484	1.0	0.3236
ENSG00000071539	AFR	-6.0		0.15158	
ENSG00000072364	AFR	-0.45455		1.0	
ENSG00000072571	AFR	-3.8	-2.0	0.02411	0.1788
